#      x          Cp  
     1.00000    0.43771
     0.99204    0.32308
     0.98193    0.27675
     0.97065    0.23880
     0.95802    0.20378
     0.94395    0.16468
     0.92859    0.11887
     0.91231    0.06851
     0.89549    0.01721
     0.87831   -0.03239
     0.86092   -0.08267
     0.84345   -0.13398
     0.82604   -0.18636
     0.80876   -0.23970
     0.79168   -0.29440
     0.77480   -0.35015
     0.75811   -0.40613
     0.74160   -0.46140
     0.72526   -0.51577
     0.70905   -0.56948
     0.69294   -0.62248
     0.67690   -0.67480
     0.66096   -0.72632
     0.64525   -0.77936
     0.62989   -0.83277
     0.61487   -0.87903
     0.60001   -0.91011
     0.58503   -0.91344
     0.56963   -0.90386
     0.55371   -0.88982
     0.53735   -0.88397
     0.52080   -0.88291
     0.50420   -0.88234
     0.48760   -0.88099
     0.47092   -0.87902
     0.45416   -0.87713
     0.43734   -0.87680
     0.42051   -0.87731
     0.40371   -0.87748
     0.38695   -0.87650
     0.37019   -0.87455
     0.35344   -0.87212
     0.33669   -0.86984
     0.31998   -0.86758
     0.30332   -0.86511
     0.28673   -0.86295
     0.27024   -0.86074
     0.25386   -0.85786
     0.23758   -0.85410
     0.22141   -0.84948
     0.20537   -0.84425
     0.18952   -0.84015
     0.17395   -0.83692
     0.15870   -0.83195
     0.14380   -0.82454
     0.12926   -0.81434
     0.11516   -0.80076
     0.10165   -0.78405
     0.08892   -0.76648
     0.07718   -0.74858
     0.06664   -0.73487
     0.05738   -0.72391
     0.04928   -0.70879
     0.04215   -0.69043
     0.03588   -0.66937
     0.03038   -0.64738
     0.02560   -0.62774
     0.02145   -0.62095
     0.01784   -0.63739
     0.01469   -0.64600
     0.01194   -0.63893
     0.00952   -0.61517
     0.00739   -0.57870
     0.00551   -0.53696
     0.00387   -0.54975
     0.00251   -0.47837
     0.00145   -0.25150
     0.00066   -0.00257
     0.00011    0.23686
    -0.00021    0.45253
    -0.00032    0.63786
    -0.00021    0.78867
     0.00011    0.90176
     0.00066    0.97241
     0.00143    0.99946
     0.00244    0.98725
     0.00369    0.94185
     0.00520    0.87062
     0.00699    0.78364
     0.00907    0.70355
     0.01144    0.63639
     0.01412    0.57999
     0.01715    0.53056
     0.02058    0.48666
     0.02449    0.45170
     0.02898    0.42031
     0.03415    0.38162
     0.04013    0.34159
     0.04704    0.30247
     0.05496    0.26543
     0.06407    0.23040
     0.07457    0.19789
     0.08658    0.16366
     0.09992    0.12844
     0.11428    0.09663
     0.12943    0.06890
     0.14514    0.04508
     0.16122    0.02396
     0.17761    0.00482
     0.19425   -0.01201
     0.21110   -0.02712
     0.22812   -0.04087
     0.24527   -0.05332
     0.26252   -0.06514
     0.27984   -0.07648
     0.29722   -0.08712
     0.31463   -0.09738
     0.33207   -0.10715
     0.34951   -0.11626
     0.36695   -0.12466
     0.38440   -0.13241
     0.40185   -0.13955
     0.41932   -0.14618
     0.43679   -0.15248
     0.45425   -0.15894
     0.47163   -0.16603
     0.48890   -0.17297
     0.50611   -0.17943
     0.52331   -0.18551
     0.54043   -0.19202
     0.55726   -0.20325
     0.57354   -0.21748
     0.58927   -0.22642
     0.60468   -0.22077
     0.62013   -0.19746
     0.63591   -0.16679
     0.65213   -0.13331
     0.66873   -0.10093
     0.68553   -0.06770
     0.70249   -0.03346
     0.71964    0.00181
     0.73701    0.03762
     0.75464    0.07348
     0.77250    0.10909
     0.79047    0.14453
     0.80830    0.18028
     0.82576    0.21508
     0.84283    0.24732
     0.85963    0.27551
     0.87633    0.30177
     0.89277    0.32888
     0.90856    0.36283
     0.92329    0.39721
     0.93688    0.42422
     0.94942    0.44189
     0.96108    0.44765
     0.97198    0.44669
     0.98225    0.44067
     0.99197    0.43714
     1.00000    0.43771
